RandomState,Accuracy Training,Accuracy Validation
1,85.18518518518519,83.984375
2,80.55555555555556,82.03125
3,75.0,81.25
4,86.11111111111111,83.984375
5,88.88888888888889,83.984375
6,87.96296296296296,83.984375
7,83.33333333333334,82.03125
8,82.4074074074074,82.03125
9,84.25925925925925,83.203125
10,87.03703703703704,83.59375
11,85.18518518518519,83.984375
12,75.0,81.25
13,76.85185185185185,83.59375
14,86.11111111111111,83.984375
15,77.77777777777779,84.375
16,76.85185185185185,82.8125
17,75.92592592592592,83.59375
18,83.33333333333334,83.59375
19,80.55555555555556,82.421875
20,91.66666666666666,83.59375
21,78.70370370370371,82.03125
22,83.33333333333334,82.8125
23,87.96296296296296,83.984375
24,82.4074074074074,83.59375
25,79.62962962962963,83.203125
26,83.33333333333334,84.375
27,79.62962962962963,82.03125
28,82.4074074074074,83.59375
29,77.77777777777779,83.984375
30,77.77777777777779,82.8125
31,81.48148148148148,83.984375
32,87.03703703703704,83.984375
33,85.18518518518519,82.421875
34,87.96296296296296,83.59375
35,81.48148148148148,83.984375
36,85.18518518518519,84.765625
37,80.55555555555556,82.8125
38,85.18518518518519,83.203125
39,84.25925925925925,84.375
40,84.25925925925925,83.59375
41,88.88888888888889,83.984375
42,81.48148148148148,83.203125
43,82.4074074074074,83.59375
44,80.55555555555556,83.59375
45,87.96296296296296,84.375
46,83.33333333333334,83.984375
47,88.88888888888889,83.203125
48,81.48148148148148,81.640625
49,87.96296296296296,83.203125
50,75.0,82.03125
51,84.25925925925925,83.203125
52,83.33333333333334,82.03125
53,84.25925925925925,83.59375
54,79.62962962962963,82.03125
55,85.18518518518519,83.59375
56,82.4074074074074,84.375
57,82.4074074074074,82.03125
58,86.11111111111111,83.984375
59,84.25925925925925,82.8125
60,87.03703703703704,83.203125
61,83.33333333333334,82.8125
62,86.11111111111111,83.59375
63,82.4074074074074,82.8125
64,79.62962962962963,82.03125
65,86.11111111111111,83.59375
66,85.18518518518519,84.375
67,81.48148148148148,83.984375
68,85.18518518518519,83.59375
69,86.11111111111111,83.984375
70,85.18518518518519,82.03125
71,83.33333333333334,84.375
72,88.88888888888889,83.203125
73,85.18518518518519,83.59375
74,78.70370370370371,82.8125
75,84.25925925925925,83.984375
76,79.62962962962963,82.421875
77,85.18518518518519,84.375
78,82.4074074074074,83.984375
79,85.18518518518519,81.640625
80,87.03703703703704,84.375
81,82.4074074074074,83.203125
82,84.25925925925925,83.59375
83,86.11111111111111,83.59375
84,85.18518518518519,83.59375
85,83.33333333333334,84.375
86,85.18518518518519,83.203125
87,77.77777777777779,83.59375
88,84.25925925925925,83.59375
89,87.96296296296296,84.375
90,83.33333333333334,83.984375
91,84.25925925925925,83.984375
92,85.18518518518519,82.03125
93,82.4074074074074,84.375
94,83.33333333333334,82.421875
95,87.96296296296296,83.59375
96,75.92592592592592,83.59375
97,86.11111111111111,82.421875
98,82.4074074074074,83.984375
99,85.18518518518519,83.59375
100,79.62962962962963,84.375
