RandomState,Accuracy Training,Accuracy Validation
1,42.592592592592595,36.71875
2,44.44444444444444,36.71875
3,43.51851851851852,36.71875
4,39.81481481481482,37.5
5,37.96296296296296,36.328125
6,33.33333333333333,37.109375
7,38.88888888888889,35.546875
8,37.03703703703704,37.890625
9,37.96296296296296,37.109375
10,35.18518518518518,37.109375
11,38.88888888888889,36.71875
12,45.370370370370374,37.5
13,45.370370370370374,37.5
14,39.81481481481482,37.109375
15,47.22222222222222,37.5
16,45.370370370370374,37.109375
17,44.44444444444444,35.9375
18,36.11111111111111,37.109375
19,40.74074074074074,36.71875
20,34.25925925925926,37.890625
21,43.51851851851852,37.109375
22,37.03703703703704,36.71875
23,34.25925925925926,38.28125
24,44.44444444444444,36.328125
25,40.74074074074074,36.71875
26,42.592592592592595,37.5
27,38.88888888888889,37.109375
28,37.03703703703704,37.109375
29,41.66666666666667,37.5
30,41.66666666666667,37.5
31,42.592592592592595,37.109375
32,35.18518518518518,37.109375
33,43.51851851851852,35.9375
34,39.81481481481482,37.890625
35,38.88888888888889,37.890625
36,40.74074074074074,37.5
37,44.44444444444444,37.109375
38,34.25925925925926,37.5
39,38.88888888888889,37.5
40,40.74074074074074,37.109375
41,41.66666666666667,37.890625
42,44.44444444444444,37.109375
43,39.81481481481482,37.5
44,42.592592592592595,36.328125
45,34.25925925925926,36.328125
46,43.51851851851852,36.71875
47,41.66666666666667,37.109375
48,38.88888888888889,35.9375
49,40.74074074074074,36.328125
50,47.22222222222222,37.5
51,37.96296296296296,36.328125
52,47.22222222222222,36.328125
53,38.88888888888889,37.109375
54,39.81481481481482,37.5
55,39.81481481481482,37.109375
56,41.66666666666667,36.328125
57,48.148148148148145,35.9375
58,44.44444444444444,37.890625
59,40.74074074074074,37.109375
60,45.370370370370374,36.71875
61,30.555555555555557,37.5
62,40.74074074074074,37.109375
63,38.88888888888889,37.5
64,35.18518518518518,36.328125
65,39.81481481481482,37.890625
66,41.66666666666667,36.328125
67,39.81481481481482,36.328125
68,41.66666666666667,36.328125
69,41.66666666666667,39.453125
70,36.11111111111111,37.109375
71,32.407407407407405,37.890625
72,44.44444444444444,39.84375
73,34.25925925925926,37.890625
74,44.44444444444444,37.109375
75,35.18518518518518,37.5
76,38.88888888888889,37.890625
77,34.25925925925926,37.5
78,36.11111111111111,39.453125
79,46.2962962962963,36.328125
80,33.33333333333333,37.5
81,38.88888888888889,37.890625
82,37.03703703703704,37.109375
83,36.11111111111111,37.890625
84,34.25925925925926,37.890625
85,45.370370370370374,36.328125
86,36.11111111111111,37.109375
87,40.74074074074074,37.5
88,36.11111111111111,37.109375
89,38.88888888888889,36.71875
90,37.96296296296296,37.109375
91,38.88888888888889,37.5
92,47.22222222222222,36.328125
93,37.03703703703704,37.109375
94,39.81481481481482,37.109375
95,34.25925925925926,37.109375
96,34.25925925925926,37.5
97,38.88888888888889,37.890625
98,43.51851851851852,37.890625
99,35.18518518518518,37.5
100,42.592592592592595,37.890625
