RandomState,Accuracy Training,Accuracy Validation
1,85.18518518518519,84.765625
2,83.33333333333334,84.375
3,76.85185185185185,84.375
4,87.03703703703704,83.984375
5,89.81481481481481,83.59375
6,87.96296296296296,84.765625
7,84.25925925925925,85.15625
8,83.33333333333334,83.59375
9,84.25925925925925,84.375
10,86.11111111111111,85.15625
11,85.18518518518519,84.765625
12,80.55555555555556,83.984375
13,78.70370370370371,84.765625
14,87.03703703703704,84.765625
15,79.62962962962963,83.984375
16,77.77777777777779,84.765625
17,81.48148148148148,85.15625
18,84.25925925925925,84.765625
19,85.18518518518519,84.375
20,90.74074074074075,84.765625
21,80.55555555555556,84.375
22,84.25925925925925,84.375
23,88.88888888888889,84.765625
24,85.18518518518519,84.375
25,81.48148148148148,83.984375
26,83.33333333333334,84.765625
27,79.62962962962963,84.375
28,81.48148148148148,83.984375
29,82.4074074074074,84.375
30,78.70370370370371,84.375
31,84.25925925925925,84.375
32,87.03703703703704,84.375
33,85.18518518518519,85.15625
34,87.96296296296296,85.15625
35,81.48148148148148,84.375
36,87.96296296296296,84.765625
37,82.4074074074074,84.765625
38,85.18518518518519,85.15625
39,87.96296296296296,85.15625
40,86.11111111111111,83.984375
41,89.81481481481481,84.765625
42,79.62962962962963,84.765625
43,82.4074074074074,84.765625
44,80.55555555555556,84.765625
45,87.96296296296296,84.765625
46,84.25925925925925,84.765625
47,89.81481481481481,84.765625
48,83.33333333333334,85.15625
49,89.81481481481481,84.765625
50,79.62962962962963,84.375
51,86.11111111111111,84.375
52,85.18518518518519,84.375
53,85.18518518518519,84.765625
54,84.25925925925925,84.765625
55,89.81481481481481,84.375
56,84.25925925925925,84.765625
57,82.4074074074074,84.765625
58,86.11111111111111,84.765625
59,84.25925925925925,83.984375
60,87.96296296296296,84.765625
61,85.18518518518519,83.984375
62,84.25925925925925,83.984375
63,85.18518518518519,84.375
64,81.48148148148148,84.765625
65,86.11111111111111,85.15625
66,85.18518518518519,84.765625
67,83.33333333333334,84.765625
68,86.11111111111111,84.765625
69,85.18518518518519,84.375
70,86.11111111111111,83.59375
71,83.33333333333334,84.765625
72,88.88888888888889,84.765625
73,86.11111111111111,84.765625
74,82.4074074074074,84.375
75,83.33333333333334,84.765625
76,78.70370370370371,84.375
77,84.25925925925925,84.765625
78,81.48148148148148,84.765625
79,89.81481481481481,84.375
80,87.03703703703704,84.765625
81,83.33333333333334,84.375
82,84.25925925925925,83.984375
83,86.11111111111111,85.15625
84,86.11111111111111,84.765625
85,86.11111111111111,85.15625
86,86.11111111111111,85.15625
87,79.62962962962963,85.15625
88,85.18518518518519,84.765625
89,85.18518518518519,84.765625
90,87.03703703703704,84.765625
91,85.18518518518519,84.375
92,86.11111111111111,84.375
93,82.4074074074074,84.765625
94,86.11111111111111,84.765625
95,87.96296296296296,83.984375
96,76.85185185185185,83.984375
97,86.11111111111111,84.375
98,82.4074074074074,83.984375
99,83.33333333333334,84.765625
100,80.55555555555556,84.375
