RandomState,Accuracy Training,Accuracy Validation
1,57.407407407407405,66.796875
2,55.55555555555556,63.28125
3,50.0,67.1875
4,62.96296296296296,67.578125
5,63.888888888888886,68.75
6,64.81481481481481,67.1875
7,62.96296296296296,67.1875
8,63.888888888888886,67.578125
9,65.74074074074075,66.796875
10,62.03703703703704,65.625
11,60.18518518518518,63.28125
12,54.629629629629626,67.1875
13,61.111111111111114,67.578125
14,62.96296296296296,65.234375
15,62.03703703703704,67.1875
16,53.70370370370371,67.578125
17,56.481481481481474,67.1875
18,54.629629629629626,65.625
19,51.85185185185185,62.890625
20,62.96296296296296,66.40625
21,55.55555555555556,66.40625
22,63.888888888888886,63.28125
23,71.29629629629629,66.40625
24,57.407407407407405,67.1875
25,62.96296296296296,68.75
26,53.70370370370371,67.578125
27,53.70370370370371,65.625
28,64.81481481481481,67.578125
29,56.481481481481474,67.578125
30,59.25925925925925,67.578125
31,48.148148148148145,63.671875
32,62.96296296296296,64.84375
33,53.70370370370371,65.625
34,60.18518518518518,67.96875
35,61.111111111111114,67.578125
36,60.18518518518518,67.578125
37,61.111111111111114,67.1875
38,64.81481481481481,67.1875
39,62.96296296296296,66.015625
40,52.77777777777778,65.234375
41,62.96296296296296,67.578125
42,58.333333333333336,67.578125
43,58.333333333333336,67.1875
44,58.333333333333336,66.40625
45,65.74074074074075,66.796875
46,59.25925925925925,67.1875
47,64.81481481481481,66.40625
48,57.407407407407405,67.578125
49,62.96296296296296,67.1875
50,53.70370370370371,66.40625
51,55.55555555555556,67.1875
52,60.18518518518518,66.40625
53,50.0,66.796875
54,57.407407407407405,66.40625
55,63.888888888888886,67.578125
56,59.25925925925925,65.625
57,52.77777777777778,63.28125
58,59.25925925925925,63.671875
59,64.81481481481481,67.578125
60,59.25925925925925,65.625
61,64.81481481481481,67.578125
62,62.03703703703704,67.578125
63,60.18518518518518,66.015625
64,55.55555555555556,63.28125
65,62.03703703703704,66.015625
66,53.70370370370371,67.578125
67,59.25925925925925,66.796875
68,58.333333333333336,63.28125
69,48.148148148148145,63.671875
70,63.888888888888886,64.84375
71,62.03703703703704,67.96875
72,62.03703703703704,67.578125
73,63.888888888888886,67.578125
74,58.333333333333336,67.578125
75,68.51851851851852,66.796875
76,56.481481481481474,66.015625
77,63.888888888888886,67.578125
78,61.111111111111114,66.40625
79,55.55555555555556,63.28125
80,61.111111111111114,65.234375
81,63.888888888888886,67.578125
82,63.888888888888886,67.1875
83,65.74074074074075,67.578125
84,62.96296296296296,66.796875
85,57.407407407407405,67.1875
86,59.25925925925925,67.578125
87,62.03703703703704,67.578125
88,56.481481481481474,67.578125
89,59.25925925925925,67.578125
90,62.03703703703704,67.1875
91,61.111111111111114,63.28125
92,53.70370370370371,63.28125
93,61.111111111111114,67.96875
94,50.92592592592593,67.1875
95,64.81481481481481,67.1875
96,62.03703703703704,66.40625
97,62.96296296296296,67.1875
98,60.18518518518518,67.1875
99,57.407407407407405,63.671875
100,61.111111111111114,66.015625
