RandomState,Accuracy Training,Accuracy Validation
1,57.407407407407405,62.68656716417911
2,51.85185185185185,57.83582089552238
3,61.111111111111114,60.26119402985075
4,51.85185185185185,57.46268656716418
5,58.333333333333336,59.14179104477611
6,62.03703703703704,65.29850746268657
7,58.333333333333336,60.820895522388064
8,58.333333333333336,59.70149253731343
9,64.81481481481481,61.19402985074627
10,53.70370370370371,58.3955223880597
11,55.55555555555556,64.36567164179104
12,61.111111111111114,63.99253731343284
13,59.25925925925925,60.447761194029844
14,60.18518518518518,63.43283582089553
15,60.18518518518518,59.88805970149254
16,57.407407407407405,59.32835820895522
17,52.77777777777778,60.07462686567165
18,63.888888888888886,60.820895522388064
19,61.111111111111114,61.19402985074627
20,61.111111111111114,60.634328358208954
21,62.03703703703704,59.14179104477611
22,63.888888888888886,61.19402985074627
23,55.55555555555556,60.634328358208954
24,51.85185185185185,57.46268656716418
25,58.333333333333336,62.31343283582089
26,60.18518518518518,58.95522388059702
27,58.333333333333336,57.649253731343286
28,54.629629629629626,60.634328358208954
29,67.5925925925926,61.56716417910447
30,62.96296296296296,60.820895522388064
31,60.18518518518518,57.83582089552238
32,56.481481481481474,60.820895522388064
33,56.481481481481474,59.14179104477611
34,60.18518518518518,60.634328358208954
35,62.96296296296296,62.873134328358205
36,61.111111111111114,61.00746268656716
37,62.03703703703704,62.873134328358205
38,58.333333333333336,60.07462686567165
39,59.25925925925925,60.634328358208954
40,64.81481481481481,62.31343283582089
41,61.111111111111114,60.26119402985075
42,62.03703703703704,60.26119402985075
43,57.407407407407405,59.14179104477611
44,59.25925925925925,61.56716417910447
45,55.55555555555556,61.00746268656716
46,62.03703703703704,60.634328358208954
47,62.96296296296296,58.2089552238806
48,55.55555555555556,62.68656716417911
49,60.18518518518518,58.02238805970149
50,69.44444444444444,64.36567164179104
51,59.25925925925925,59.70149253731343
52,60.18518518518518,61.75373134328358
53,63.888888888888886,60.26119402985075
54,73.14814814814815,63.059701492537314
55,57.407407407407405,65.11194029850746
56,56.481481481481474,60.447761194029844
57,64.81481481481481,61.00746268656716
58,57.407407407407405,57.08955223880597
59,69.44444444444444,62.126865671641795
60,52.77777777777778,56.90298507462687
61,59.25925925925925,59.32835820895522
62,62.03703703703704,60.447761194029844
63,61.111111111111114,60.447761194029844
64,53.70370370370371,59.88805970149254
65,69.44444444444444,64.17910447761194
66,62.03703703703704,60.26119402985075
67,62.96296296296296,61.00746268656716
68,62.03703703703704,60.634328358208954
69,75.92592592592592,63.059701492537314
70,49.074074074074076,59.51492537313433
71,62.96296296296296,63.99253731343284
72,62.03703703703704,62.31343283582089
73,58.333333333333336,60.820895522388064
74,56.481481481481474,60.634328358208954
75,60.18518518518518,60.07462686567165
76,62.96296296296296,57.276119402985074
77,64.81481481481481,61.19402985074627
78,56.481481481481474,60.26119402985075
79,57.407407407407405,58.02238805970149
80,73.14814814814815,64.55223880597015
81,59.25925925925925,60.07462686567165
82,48.148148148148145,60.07462686567165
83,61.111111111111114,60.634328358208954
84,53.70370370370371,60.634328358208954
85,60.18518518518518,63.80597014925373
86,44.44444444444444,57.08955223880597
87,56.481481481481474,59.51492537313433
88,62.96296296296296,60.634328358208954
89,60.18518518518518,60.447761194029844
90,62.96296296296296,64.36567164179104
91,64.81481481481481,61.75373134328358
92,55.55555555555556,60.26119402985075
93,63.888888888888886,60.07462686567165
94,62.03703703703704,62.68656716417911
95,54.629629629629626,61.19402985074627
96,56.481481481481474,60.26119402985075
97,64.81481481481481,60.634328358208954
98,59.25925925925925,59.32835820895522
99,63.888888888888886,60.634328358208954
100,63.888888888888886,60.447761194029844
