RandomState,Accuracy Training,Accuracy Validation
1,82.4074074074074,84.51492537313433
2,85.18518518518519,83.5820895522388
3,85.18518518518519,83.95522388059702
4,79.62962962962963,83.2089552238806
5,84.25925925925925,83.5820895522388
6,82.4074074074074,84.14179104477611
7,85.18518518518519,84.32835820895522
8,82.4074074074074,83.5820895522388
9,82.4074074074074,83.95522388059702
10,77.77777777777779,83.95522388059702
11,84.25925925925925,83.95522388059702
12,80.55555555555556,83.76865671641791
13,94.44444444444444,84.14179104477611
14,81.48148148148148,83.95522388059702
15,81.48148148148148,84.32835820895522
16,82.4074074074074,83.2089552238806
17,76.85185185185185,83.5820895522388
18,82.4074074074074,83.5820895522388
19,82.4074074074074,83.95522388059702
20,86.11111111111111,83.5820895522388
21,84.25925925925925,83.5820895522388
22,86.11111111111111,83.76865671641791
23,77.77777777777779,83.76865671641791
24,88.88888888888889,83.5820895522388
25,80.55555555555556,84.14179104477611
26,86.11111111111111,83.3955223880597
27,84.25925925925925,83.95522388059702
28,81.48148148148148,84.51492537313433
29,87.03703703703704,84.14179104477611
30,87.96296296296296,84.32835820895522
31,87.96296296296296,83.76865671641791
32,80.55555555555556,83.76865671641791
33,86.11111111111111,83.95522388059702
34,83.33333333333334,84.14179104477611
35,83.33333333333334,84.32835820895522
36,84.25925925925925,83.5820895522388
37,85.18518518518519,84.32835820895522
38,80.55555555555556,84.14179104477611
39,78.70370370370371,83.5820895522388
40,82.4074074074074,83.95522388059702
41,80.55555555555556,83.95522388059702
42,79.62962962962963,83.5820895522388
43,80.55555555555556,83.76865671641791
44,82.4074074074074,83.5820895522388
45,76.85185185185185,83.95522388059702
46,86.11111111111111,83.5820895522388
47,83.33333333333334,83.76865671641791
48,76.85185185185185,83.95522388059702
49,86.11111111111111,83.3955223880597
50,85.18518518518519,83.3955223880597
51,88.88888888888889,83.5820895522388
52,79.62962962962963,83.3955223880597
53,83.33333333333334,84.14179104477611
54,83.33333333333334,83.76865671641791
55,79.62962962962963,83.95522388059702
56,85.18518518518519,83.95522388059702
57,86.11111111111111,83.95522388059702
58,87.96296296296296,84.51492537313433
59,88.88888888888889,84.14179104477611
60,79.62962962962963,84.14179104477611
61,79.62962962962963,84.14179104477611
62,89.81481481481481,83.95522388059702
63,81.48148148148148,83.95522388059702
64,88.88888888888889,84.51492537313433
65,82.4074074074074,84.32835820895522
66,85.18518518518519,83.76865671641791
67,83.33333333333334,83.95522388059702
68,81.48148148148148,83.3955223880597
69,86.11111111111111,82.6492537313433
70,77.77777777777779,83.76865671641791
71,85.18518518518519,83.5820895522388
72,84.25925925925925,83.95522388059702
73,77.77777777777779,83.76865671641791
74,86.11111111111111,83.3955223880597
75,86.11111111111111,84.51492537313433
76,82.4074074074074,82.6492537313433
77,87.03703703703704,83.95522388059702
78,85.18518518518519,83.5820895522388
79,89.81481481481481,83.3955223880597
80,87.96296296296296,83.95522388059702
81,84.25925925925925,84.51492537313433
82,85.18518518518519,83.76865671641791
83,82.4074074074074,83.95522388059702
84,83.33333333333334,83.95522388059702
85,77.77777777777779,83.5820895522388
86,82.4074074074074,84.14179104477611
87,86.11111111111111,83.95522388059702
88,86.11111111111111,84.14179104477611
89,87.96296296296296,84.32835820895522
90,80.55555555555556,83.2089552238806
91,86.11111111111111,83.76865671641791
92,80.55555555555556,83.3955223880597
93,83.33333333333334,83.3955223880597
94,79.62962962962963,83.76865671641791
95,86.11111111111111,84.14179104477611
96,79.62962962962963,84.14179104477611
97,90.74074074074075,84.14179104477611
98,79.62962962962963,84.14179104477611
99,87.96296296296296,83.5820895522388
100,84.25925925925925,83.5820895522388
